Date,Open,High,Low,Close,Volume,Adj Close
2009-02-18,91.17,92.25,90.44,91.51,8492600,85.98
2009-02-17,91.73,92.49,90.50,90.67,8903500,85.19
2009-02-13,94.79,95.18,93.57,93.84,6742400,88.16
2009-02-12,94.41,95.20,92.20,95.07,9917700,89.32
2009-02-11,93.48,95.77,93.00,95.16,10765700,89.40
2009-02-10,95.58,96.82,92.96,93.27,13541300,87.63
2009-02-09,95.93,96.98,94.72,96.82,8165800,90.96
2009-02-06,92.51,97.10,91.65,96.14,13055900,90.33
2009-02-05,92.13,93.20,91.22,92.41,11622900,86.35
2009-02-04,93.74,94.91,91.82,92.83,10189800,86.74
2009-02-03,91.07,93.73,90.16,93.48,8864500,87.35
2009-02-02,90.60,91.86,89.69,90.93,9926400,84.97
2009-01-30,92.23,93.48,91.25,91.65,9617000,85.64
2009-01-29,93.58,94.58,92.02,92.51,9233500,86.44
2009-01-28,92.70,94.94,91.91,94.82,13407200,88.60
2009-01-27,91.77,91.97,90.50,91.66,8720800,85.65
2009-01-26,89.77,92.67,89.52,91.60,9840800,85.59
2009-01-23,88.40,90.70,87.81,89.49,10253700,83.62
2009-01-22,89.83,90.74,88.11,90.07,12350700,84.16
2009-01-21,86.29,91.60,86.00,91.42,24905000,85.43
2009-01-20,84.76,84.92,81.76,81.98,13800100,76.60
2009-01-16,84.61,85.74,83.08,84.92,11245300,79.35
2009-01-15,83.61,84.83,82.26,84.12,11734800,78.60
2009-01-14,84.20,84.82,82.11,83.19,9470000,77.74
2009-01-13,85.50,86.59,84.79,85.34,7657200,79.74
2009-01-12,84.57,86.60,84.42,85.71,8072700,80.09
2009-01-09,87.05,87.50,84.25,84.70,7440300,79.15
2009-01-08,87.81,88.14,85.98,87.18,7231800,81.46
2009-01-07,87.83,88.80,87.12,87.79,8455100,82.03
2009-01-06,87.11,90.41,86.37,89.23,9649500,83.38
2009-01-05,86.42,87.67,86.18,86.82,8315700,81.13
2009-01-02,83.89,87.59,83.89,87.37,7558200,81.64
2008-12-31,83.50,85.00,83.50,84.16,6667700,78.64
2008-12-30,81.83,83.64,81.52,83.55,5774400,78.07
2008-12-29,81.72,81.72,79.68,81.25,6062600,75.92
2008-12-26,80.93,81.80,80.55,81.33,3101300,76.00
2008-12-24,80.55,81.22,79.92,80.52,2415200,75.24
2008-12-23,82.35,82.81,80.13,80.60,6374400,75.32
2008-12-22,83.27,83.45,80.32,81.99,7083300,76.61
2008-12-19,85.22,85.22,82.97,83.52,13098600,78.04
2008-12-18,85.77,86.64,82.96,84.00,8029500,78.49
2008-12-17,85.44,87.27,84.66,85.84,8592000,80.21
2008-12-16,83.11,86.84,82.87,86.40,11559800,80.73
2008-12-15,82.51,83.54,80.00,82.77,8848200,77.34
2008-12-12,78.68,82.94,78.06,82.20,10381700,76.81
2008-12-11,81.50,82.86,79.77,80.58,10682400,75.30
2008-12-10,83.95,84.99,81.83,82.86,8187000,77.43
2008-12-09,83.82,85.43,82.20,82.69,9356400,77.27
2008-12-08,82.57,85.88,81.73,84.86,11177600,79.30
2008-12-05,76.78,81.50,75.31,80.59,11212000,75.31
2008-12-04,80.03,80.83,76.18,77.44,10914000,72.36
2008-12-03,78.62,81.00,76.99,80.67,9757800,75.38
2008-12-02,77.80,80.00,76.14,79.84,9305200,74.61
2008-12-01,80.95,81.36,76.79,76.90,10265000,71.86
2008-11-28,81.00,81.90,80.10,81.60,3908300,76.25
2008-11-26,79.52,81.79,78.61,81.67,8240600,76.32
2008-11-25,81.37,82.40,78.22,80.65,12519700,75.36
2008-11-24,75.74,82.09,75.00,79.89,15023200,74.65
2008-11-21,72.74,76.98,69.50,74.88,19804500,69.97
2008-11-20,75.00,78.39,70.51,71.74,17634700,67.04
2008-11-19,79.93,81.00,75.73,75.97,12606400,70.99
2008-11-18,79.13,80.93,77.00,80.08,13050600,74.83
2008-11-17,79.40,79.74,77.16,77.48,10315300,72.40
2008-11-14,82.63,85.40,79.50,80.33,12023700,75.06
2008-11-13,79.62,84.39,75.40,84.21,15103600,78.69
2008-11-12,80.73,82.40,79.57,79.74,11368400,74.51
2008-11-11,83.25,84.29,80.25,82.74,10013600,77.31
2008-11-10,87.99,88.10,82.74,83.87,9685100,78.37
2008-11-07,85.78,86.71,84.25,86.27,7927800,80.61
2008-11-06,87.68,88.83,84.28,85.15,12522000,79.57
2008-11-05,92.93,93.40,89.70,89.94,8706200,83.58
2008-11-04,94.76,94.76,92.07,93.40,10173000,86.79
2008-11-03,92.64,94.67,92.17,92.68,7686300,86.12
2008-10-31,90.90,94.19,89.03,92.97,10506300,86.39
2008-10-30,91.01,92.40,88.90,90.69,12033800,84.27
2008-10-29,87.74,91.00,86.25,88.20,12692000,81.96
2008-10-28,81.40,87.61,79.52,87.28,14205900,81.10
2008-10-27,80.27,84.50,79.01,79.66,11099100,74.02
2008-10-24,79.27,84.31,78.82,82.07,12287300,76.26
2008-10-23,84.09,85.89,81.00,84.35,12358000,78.38
2008-10-22,87.00,87.59,80.80,83.60,14198100,77.68
2008-10-21,92.22,92.46,88.57,88.86,9716400,82.57
2008-10-20,92.21,93.31,89.33,92.51,9747100,85.96
2008-10-17,91.75,95.91,87.71,90.78,15230700,84.36
2008-10-16,89.38,92.00,84.35,91.52,16271300,85.04
2008-10-15,92.77,95.29,87.71,88.29,11330800,82.04
2008-10-14,96.42,99.00,92.00,93.60,15114200,86.98
2008-10-13,90.44,93.61,86.95,92.21,17101600,85.68
2008-10-10,87.41,91.66,83.51,87.75,24637400,81.54
2008-10-09,95.29,95.31,88.23,89.00,21293600,82.70
2008-10-08,91.51,97.48,89.98,90.55,17980400,84.14
2008-10-07,101.50,102.62,94.24,95.65,11416100,88.88
2008-10-06,101.21,103.00,96.60,100.62,11521400,93.50
2008-10-03,105.16,110.95,103.03,103.44,9637900,96.12
2008-10-02,108.48,109.97,103.04,104.74,11458200,97.33
2008-10-01,115.51,116.80,107.75,110.13,13134400,102.34
2008-09-30,115.83,116.96,111.81,116.96,18991900,108.68
2008-09-29,117.44,118.43,109.95,114.46,9586700,106.36
2008-09-26,117.21,121.01,117.01,119.42,4760500,110.97
2008-09-25,117.75,121.99,116.12,120.11,6539200,111.61
2008-09-24,116.93,118.17,114.26,116.46,6574100,108.22
2008-09-23,116.21,118.17,114.14,115.36,8012800,107.20
2008-09-22,118.45,120.14,116.02,116.21,8844000,107.99
2008-09-19,119.59,124.00,117.50,118.85,14432600,110.44
2008-09-18,112.91,118.59,111.04,115.12,15995000,106.97
2008-09-17,114.79,115.50,110.61,111.47,12298000,103.58
2008-09-16,113.73,117.64,113.32,116.05,13673200,107.84
2008-09-15,115.36,118.41,115.19,115.19,9908300,107.04
2008-09-12,118.66,119.28,116.82,118.97,6635100,110.55
2008-09-11,116.60,119.37,116.11,119.20,9737400,110.77
2008-09-10,116.40,119.95,116.10,118.04,11852200,109.69
2008-09-09,117.78,118.10,115.00,115.04,8106300,106.90
2008-09-08,118.00,118.28,115.14,117.29,10452800,108.99
2008-09-05,114.15,115.09,113.17,114.33,8811400,106.24
2008-09-04,117.99,118.90,114.90,115.00,10133800,106.86
2008-09-03,118.34,118.65,115.15,118.34,11316600,109.97
2008-09-02,122.87,124.00,117.90,118.41,11749800,110.03
2008-08-29,123.71,123.99,121.63,121.73,7156000,113.12
2008-08-28,124.06,125.45,123.58,124.58,5448200,115.76
2008-08-27,122.42,124.85,122.18,123.38,5843800,114.65
2008-08-26,122.58,122.85,121.50,122.50,6218200,113.83
2008-08-25,124.48,124.93,122.70,122.86,5827400,114.17
2008-08-22,123.30,125.35,122.80,124.93,5989200,116.09
2008-08-21,121.58,123.43,121.55,122.99,6315000,114.29
2008-08-20,123.50,123.97,122.01,122.51,6871600,113.84
2008-08-19,123.63,124.79,122.01,122.56,9311600,113.89
2008-08-18,126.49,127.00,123.68,124.59,5970000,115.77
2008-08-15,127.07,127.19,125.35,126.36,5566200,117.42
2008-08-14,125.01,128.25,124.80,126.94,6813000,117.96
2008-08-13,125.00,126.99,124.75,125.80,5857800,116.90
2008-08-12,126.01,126.50,124.40,125.22,6996800,116.36
2008-08-11,128.43,128.43,125.75,126.60,7490400,117.64
2008-08-08,128.50,129.88,127.63,128.81,8561800,119.70
2008-08-07,128.30,129.97,127.90,129.05,6633500,119.92
2008-08-06,128.45,129.50,127.75,129.16,6253800,120.02
2008-08-05,128.20,128.90,127.08,128.87,6969900,119.29
2008-08-04,126.77,128.10,126.25,127.56,5994900,118.07
2008-08-01,128.52,129.30,126.28,126.64,4939700,117.22
2008-07-31,128.10,129.50,127.74,127.98,5857300,118.46
2008-07-30,128.12,129.00,127.09,128.86,5826100,119.28
2008-07-29,126.54,128.17,126.25,127.66,5979400,118.17
2008-07-28,127.69,128.44,126.13,126.25,6096800,116.86
2008-07-25,129.00,129.90,128.00,128.53,7565500,118.97
2008-07-24,129.06,130.93,128.80,130.00,8946300,120.33
2008-07-23,129.78,130.33,128.29,129.52,10230300,119.89
2008-07-22,127.50,130.00,127.26,130.00,11428600,120.33
2008-07-21,129.83,129.90,127.64,128.66,7779600,119.09
2008-07-18,125.81,130.00,125.42,129.89,18317800,120.23
2008-07-17,126.39,126.96,124.00,126.52,12298200,117.11
2008-07-16,122.81,126.89,122.25,125.94,9898800,116.57
2008-07-15,121.00,124.50,119.90,123.20,10710500,114.04
2008-07-14,123.51,124.25,121.24,121.54,8317400,112.50
2008-07-11,121.80,123.74,120.57,122.12,8841400,113.04
2008-07-10,120.66,123.54,120.66,123.18,10053600,114.02
2008-07-09,124.21,124.50,120.40,120.40,9506700,111.45
2008-07-08,120.55,123.99,120.55,123.88,9813300,114.67
2008-07-07,119.62,122.64,119.62,121.50,9131100,112.46
2008-07-03,119.95,120.78,117.89,119.54,6115200,110.65
2008-07-02,118.41,120.55,118.12,119.10,8093200,110.24
2008-07-01,117.50,119.36,116.60,119.27,10069400,110.40
2008-06-30,120.03,120.22,118.15,118.53,8439000,109.72
2008-06-27,121.02,122.05,118.26,120.05,11660400,111.12
2008-06-26,123.43,123.82,120.76,121.13,9710600,112.12
2008-06-25,123.67,125.83,123.20,124.58,7131500,115.32
2008-06-24,123.08,124.25,121.90,123.46,7552900,114.28
2008-06-23,123.00,124.50,122.40,123.46,5852300,114.28
2008-06-20,124.81,125.02,122.50,122.74,9624900,113.61
2008-06-19,123.67,125.62,122.36,125.02,7570200,115.72
2008-06-18,124.55,125.43,123.70,124.16,6614700,114.93
2008-06-17,127.10,127.10,124.62,125.10,5277900,115.80
2008-06-16,125.46,127.14,124.65,126.71,6280200,117.29
2008-06-13,124.42,126.57,124.15,126.15,6379600,116.77
2008-06-12,123.85,125.09,123.13,123.85,6748600,114.64
2008-06-11,125.90,125.90,122.86,123.25,7207200,114.08
2008-06-10,124.88,126.72,124.63,125.94,5384200,116.57
2008-06-09,125.38,126.18,124.06,125.86,5584000,116.50
2008-06-06,127.77,128.14,124.74,124.94,7866700,115.65
2008-06-05,127.41,129.04,127.20,128.47,6153300,118.92
2008-06-04,127.87,128.50,126.45,127.55,6432300,118.06
2008-06-03,127.47,129.00,127.46,127.84,7238200,118.33
2008-06-02,128.49,129.37,126.70,127.36,7599300,117.89
2008-05-30,129.22,129.99,128.80,129.43,8652900,119.80
2008-05-29,128.76,129.99,128.66,129.71,7561500,120.06
2008-05-28,127.50,129.54,126.99,129.54,9875600,119.91
2008-05-27,124.01,127.38,124.00,127.32,6989200,117.85
2008-05-23,124.35,124.91,123.77,124.20,4701500,114.96
2008-05-22,123.55,125.35,123.55,124.70,5031300,115.43
2008-05-21,125.05,126.40,123.02,123.62,8333900,114.43
2008-05-20,126.05,126.05,124.45,125.18,7017700,115.87
2008-05-19,127.68,128.21,126.05,126.49,6385200,117.08
2008-05-16,128.46,128.48,126.80,127.82,6372100,118.31
2008-05-15,127.33,128.68,126.90,128.46,7227900,118.91
2008-05-14,126.52,128.83,126.20,127.52,8888300,118.04
2008-05-13,125.12,126.70,125.03,126.58,9693400,117.17
2008-05-12,123.82,125.99,123.56,125.24,8666800,115.93
2008-05-09,124.37,124.65,123.63,124.06,5502900,114.83
2008-05-08,124.20,125.17,123.70,124.92,9794000,115.63
2008-05-07,122.78,124.98,122.41,124.14,11406800,114.91
2008-05-06,121.50,123.34,120.78,122.82,5910400,113.22
2008-05-05,122.29,123.25,121.74,122.03,6359300,112.50
2008-05-02,123.30,124.00,121.76,123.18,6916600,113.56
2008-05-01,121.06,124.43,121.06,123.61,8230200,113.95
2008-04-30,123.34,123.50,120.50,120.70,8128300,111.27
2008-04-29,122.04,123.20,122.04,122.85,7226000,113.25
2008-04-28,122.61,123.05,121.64,121.69,5605200,112.18
2008-04-25,124.50,124.50,122.06,123.08,6313400,113.46
2008-04-24,123.38,124.90,122.73,124.19,5996700,114.49
2008-04-23,123.69,124.78,122.64,123.60,7593300,113.94
2008-04-22,123.87,124.35,123.01,123.67,5417500,114.01
2008-04-21,123.62,124.51,122.05,124.35,6952800,114.63
2008-04-18,123.92,125.00,123.15,124.40,12490800,114.68
2008-04-17,122.39,123.72,120.70,123.08,18999100,113.46
2008-04-16,118.15,120.47,117.17,120.47,19317700,111.06
2008-04-15,117.10,117.67,115.54,117.17,8642000,108.01
2008-04-14,116.20,117.94,115.95,117.28,7745600,108.12
2008-04-11,117.31,117.80,115.51,116.00,9556800,106.94
2008-04-10,116.93,119.22,116.88,118.78,9149300,109.50
2008-04-09,116.50,117.72,115.72,116.77,6819100,107.65
2008-04-08,115.72,116.88,115.28,116.27,7283300,107.19
2008-04-07,116.37,117.37,115.82,116.31,6181200,107.22
2008-04-04,116.05,116.58,114.60,115.76,5733200,106.71
2008-04-03,114.35,116.82,113.86,116.02,7052900,106.95
2008-04-02,116.84,116.88,113.98,114.81,8007600,105.84
2008-04-01,115.20,118.37,114.97,116.49,11875400,107.39
2008-03-31,114.15,115.87,113.34,115.14,9707200,106.14
2008-03-28,115.86,116.75,114.21,114.57,6600900,105.62
2008-03-27,116.02,116.20,114.51,115.52,8437200,106.49
2008-03-26,117.59,117.97,114.96,116.91,9617100,107.78
2008-03-25,119.10,119.10,117.15,117.97,8443600,108.75
2008-03-24,118.57,119.79,118.13,119.06,8398000,109.76
2008-03-20,117.09,118.48,116.65,118.33,11417900,109.08
2008-03-19,118.29,118.50,116.65,116.94,9314400,107.80
2008-03-18,116.60,118.43,113.81,118.41,9966500,109.16
2008-03-17,113.00,117.04,113.00,115.55,9280300,106.52
2008-03-14,116.07,116.52,112.69,115.23,9734600,106.23
2008-03-13,115.69,116.78,113.64,115.91,9548900,106.85
2008-03-12,116.44,118.00,115.11,117.07,9083200,107.92
2008-03-11,115.80,116.56,114.04,116.49,10480600,107.39
2008-03-10,113.12,115.99,113.12,114.01,9747300,105.10
2008-03-07,111.85,114.75,111.80,113.94,8124900,105.04
2008-03-06,115.06,115.15,112.25,112.52,8018400,103.73
2008-03-05,116.41,116.41,114.25,115.39,8434200,106.37
2008-03-04,113.40,115.72,112.75,115.71,8593300,106.67
2008-03-03,113.86,114.81,113.48,114.23,6335700,105.30
2008-02-29,114.04,115.14,113.35,113.86,8475100,104.96
2008-02-28,115.60,115.90,114.56,115.24,7227200,106.24
2008-02-27,113.84,116.63,112.91,116.46,11854900,107.36
2008-02-26,109.52,114.99,109.05,114.38,18651500,105.44
2008-02-25,107.43,110.32,107.43,110.08,8158000,101.48
2008-02-22,107.14,108.48,105.71,108.07,7917200,99.63
2008-02-21,108.10,109.60,106.43,106.93,8328000,98.57
2008-02-20,105.43,108.21,104.53,107.85,7671000,99.42
2008-02-19,106.94,107.62,104.64,105.00,7376400,96.80
2008-02-15,105.27,106.25,105.00,106.16,6235600,97.87
2008-02-14,107.94,108.50,105.50,106.13,7340600,97.84
2008-02-13,107.13,108.93,106.80,108.42,6608200,99.95
2008-02-12,105.16,107.33,104.70,106.53,7650200,98.21
2008-02-11,103.05,105.55,102.87,105.14,6098300,96.92
2008-02-08,102.19,103.67,102.07,103.27,6085600,95.20
2008-02-07,102.89,104.00,100.60,102.34,11255800,94.34
2008-02-06,105.05,106.49,103.58,103.59,8265700,95.50
2008-02-05,107.06,108.05,104.68,105.02,9048900,96.45
2008-02-04,108.67,109.00,107.23,107.93,5985500,99.12
2008-02-01,107.16,109.40,105.86,109.08,8047100,100.17
2008-01-31,104.21,107.97,103.70,107.11,9054600,98.36
2008-01-30,105.85,107.65,104.86,105.65,7431100,97.02
2008-01-29,105.50,106.80,104.60,106.10,6616200,97.44
2008-01-28,104.44,105.77,103.83,104.98,7858500,96.41
2008-01-25,107.79,107.79,104.10,104.52,10025400,95.99
2008-01-24,106.38,107.51,104.68,106.91,13025700,98.18
2008-01-23,99.63,106.34,98.50,106.10,19588100,97.44
2008-01-22,98.55,103.09,98.55,101.22,15129500,92.96
2008-01-18,106.72,106.72,102.50,103.40,23871700,94.96
2008-01-17,102.00,103.45,100.05,101.10,11934000,92.85
2008-01-16,100.14,102.86,100.14,101.63,12681700,93.33
2008-01-15,102.03,104.64,101.23,101.83,11629500,93.52
2008-01-14,105.01,105.59,101.33,102.93,18009400,94.53
2008-01-11,99.20,99.46,97.04,97.67,8959900,89.70
2008-01-10,97.39,100.86,97.15,99.92,10634700,91.76
2008-01-09,97.76,99.15,97.16,98.31,10922100,90.28
2008-01-08,100.05,100.38,97.17,97.59,9434400,89.62
2008-01-07,100.25,101.00,99.03,100.05,12650400,91.88
2008-01-04,103.95,103.95,100.48,101.13,11034600,92.87
2008-01-03,104.83,105.57,103.98,104.90,7528900,96.34
2008-01-02,108.99,108.99,104.17,104.69,9503500,96.14
2007-12-31,109.51,110.00,107.26,108.10,5732300,99.27
2007-12-28,110.76,110.76,109.11,110.09,5834500,101.10
2007-12-27,110.53,111.30,109.49,109.60,4513600,100.65
2007-12-26,110.90,112.19,110.90,111.56,3849400,102.45
2007-12-24,111.20,112.00,110.55,111.65,2342400,102.53
2007-12-21,109.90,111.16,109.15,111.05,13246600,101.98
2007-12-20,107.78,109.49,107.61,108.84,8030900,99.95
2007-12-19,106.54,108.38,105.87,107.14,7031100,98.39
2007-12-18,105.08,106.97,104.13,106.31,8042000,97.63
2007-12-17,105.37,105.99,104.00,104.53,7131100,96.00
2007-12-14,107.31,107.56,104.10,105.77,9711200,97.13
2007-12-13,108.00,108.64,106.94,108.18,6252800,99.35
2007-12-12,109.17,110.20,107.38,108.47,7879800,99.61
2007-12-11,109.34,110.40,106.46,106.99,8439700,98.25
2007-12-10,109.38,110.26,109.00,109.39,4442200,100.46
2007-12-07,109.68,110.00,107.95,108.86,5985500,99.97
2007-12-06,108.00,110.00,107.93,109.70,5315500,100.74
2007-12-05,107.83,108.52,106.98,108.16,6090400,99.33
2007-12-04,105.41,107.42,104.72,106.63,6361800,97.92
2007-12-03,105.55,107.14,104.58,105.83,7918800,97.19
2007-11-30,108.57,109.19,103.93,105.18,12900200,96.59
2007-11-29,107.24,107.87,106.25,107.50,7813800,98.72
2007-11-28,104.82,108.27,104.36,107.37,9397700,98.60
2007-11-27,102.70,104.58,101.50,103.83,9117500,95.35
2007-11-26,104.26,105.15,101.72,101.97,7340700,93.64
2007-11-23,103.10,104.14,102.32,104.05,2827700,95.55
2007-11-21,101.41,104.09,101.41,102.22,7097200,93.87
2007-11-20,102.59,104.97,101.38,103.42,8393400,94.98
2007-11-19,104.34,105.39,101.34,102.22,9502200,93.87
2007-11-16,104.51,105.00,103.25,104.79,9294000,96.23
2007-11-15,103.24,105.64,103.05,103.60,8023600,95.14
2007-11-14,106.12,106.42,102.84,103.44,8453600,94.99
2007-11-13,102.73,105.74,102.50,105.27,10777900,96.67
2007-11-12,101.89,104.19,100.70,101.45,13553600,93.17
2007-11-09,104.92,104.92,99.27,100.25,18084100,92.06
2007-11-08,105.65,110.32,103.99,106.11,23092200,97.45
2007-11-07,113.56,113.64,110.90,111.08,7087000,102.01
2007-11-06,113.49,113.95,111.67,113.17,7299700,103.56
2007-11-05,115.11,115.11,112.83,113.40,7155300,103.77
2007-11-02,114.42,115.15,113.57,114.59,6114800,104.86
2007-11-01,115.50,116.09,113.32,113.65,7594400,104.00
2007-10-31,114.75,116.25,113.28,116.12,7216800,106.26
2007-10-30,114.50,114.90,113.75,114.12,4015500,104.43
2007-10-29,113.90,115.01,113.85,114.80,5103200,105.05
2007-10-26,113.00,114.00,112.07,113.73,5030300,104.08
2007-10-25,113.32,114.40,111.69,112.81,6519900,103.23
2007-10-24,114.20,114.45,111.68,112.95,8072600,103.36
2007-10-23,113.78,114.80,113.50,114.68,5562900,104.94
2007-10-22,110.97,113.88,110.96,113.37,7576900,103.75
2007-10-19,113.98,114.93,111.80,112.28,10327200,102.75
2007-10-18,114.82,116.41,114.44,114.80,7736500,105.05
2007-10-17,118.01,118.01,114.15,115.78,18100500,105.95
2007-10-16,118.02,119.94,117.50,119.60,11527300,109.45
2007-10-15,117.95,118.37,116.75,118.03,6267300,108.01
2007-10-12,118.50,118.89,117.28,117.81,5656200,107.81
2007-10-11,118.99,121.46,117.37,118.05,13018800,108.03
2007-10-10,118.00,118.80,117.68,118.62,5913800,108.55
2007-10-09,117.85,118.50,116.42,118.30,5670600,108.26
2007-10-08,116.10,118.23,115.88,117.77,4822900,107.77
2007-10-05,116.17,116.71,115.47,116.30,5749400,106.43
2007-10-04,116.20,116.75,115.00,115.69,6177500,105.87
2007-10-03,117.65,117.84,116.28,116.40,7914100,106.52
2007-10-02,119.31,119.60,118.14,118.36,6911500,108.31
2007-10-01,117.61,119.50,117.50,119.03,6777300,108.93
2007-09-28,117.14,118.50,117.10,117.80,7720200,107.80
2007-09-27,117.50,118.21,117.04,117.71,5834500,107.72
2007-09-26,116.94,118.08,116.75,117.30,6695200,107.34
2007-09-25,116.02,117.59,115.79,116.51,7045200,106.62
2007-09-24,116.90,117.43,115.85,116.25,5734300,106.38
2007-09-21,117.89,118.10,116.35,116.78,9097300,106.87
2007-09-20,116.27,117.65,116.20,116.86,5806400,106.94
2007-09-19,116.90,117.19,115.78,116.67,10311200,106.77
2007-09-18,115.00,116.78,114.83,116.63,7839500,106.73
2007-09-17,114.70,115.25,114.30,114.52,5022400,104.80
2007-09-14,115.05,116.00,114.65,115.13,6904400,105.36
2007-09-13,116.30,117.00,115.74,115.95,4802700,106.11
2007-09-12,116.95,117.40,115.69,116.00,6287200,106.15
2007-09-11,116.35,117.78,116.04,117.35,8098700,107.39
2007-09-10,116.15,117.50,115.32,115.80,6118300,105.97
2007-09-07,116.20,116.97,115.33,115.55,7511700,105.74
2007-09-06,117.92,118.75,116.24,117.62,6778600,107.63
2007-09-05,117.48,118.15,116.55,117.88,6555500,107.87
2007-09-04,116.34,118.89,116.15,118.19,8070500,108.16
2007-08-31,115.99,117.35,115.55,116.69,6883600,106.78
2007-08-30,113.62,116.00,113.62,115.37,7756100,105.58
2007-08-29,112.88,114.98,112.07,114.57,7049800,104.84
2007-08-28,112.90,113.59,111.63,112.00,6006600,102.49
2007-08-27,113.00,113.85,112.80,113.44,4921800,103.81
2007-08-24,111.45,113.25,110.81,113.24,7058700,103.63
2007-08-23,110.40,111.68,110.01,111.45,8271000,101.99
2007-08-22,110.09,110.50,109.15,110.00,6329700,100.66
2007-08-21,108.90,110.11,108.08,109.04,8458500,99.78
2007-08-20,110.90,111.10,109.13,109.22,9839800,99.95
2007-08-17,111.87,112.67,108.66,110.90,15274600,101.49
2007-08-16,110.98,111.42,103.70,109.69,16723000,100.38
2007-08-15,111.00,112.85,109.91,111.23,11640200,101.79
2007-08-14,112.83,113.15,111.74,112.05,5615600,102.54
2007-08-13,112.99,113.95,112.31,112.71,6135500,103.14
2007-08-10,109.75,113.50,109.70,112.64,9592200,103.08
2007-08-09,110.77,114.49,110.73,110.73,9086000,101.33
2007-08-08,114.30,114.60,112.26,112.98,7681400,103.39
2007-08-07,113.02,114.17,112.25,113.53,8021400,103.53
2007-08-06,111.97,113.89,111.70,113.89,7245500,103.85
2007-08-03,113.24,114.18,111.70,111.89,9571300,102.03
2007-08-02,112.10,114.05,111.50,113.23,11318900,103.25
2007-08-01,110.39,112.73,110.06,112.04,12359700,102.17
2007-07-31,114.72,114.72,110.02,110.65,17816200,100.90
2007-07-30,115.00,115.75,113.52,114.52,15095400,104.43
2007-07-27,116.62,117.95,115.62,115.62,18138700,105.43
2007-07-26,117.01,118.82,115.52,116.53,16822100,106.26
2007-07-25,116.19,118.38,115.24,118.10,11340000,107.69
2007-07-24,115.32,117.00,115.02,116.17,10499300,105.93
2007-07-23,114.88,116.43,114.85,116.38,8040900,106.12
2007-07-20,114.85,115.86,113.94,114.81,11706300,104.69
2007-07-19,115.00,116.48,114.65,115.86,17281600,105.65
2007-07-18,110.25,111.88,110.04,111.08,10154100,101.29
2007-07-17,109.66,111.47,109.45,110.77,7619900,101.01
2007-07-16,108.57,110.04,108.42,109.66,8864200,100.00
2007-07-13,108.75,109.20,108.10,108.60,7124100,99.03
2007-07-12,109.35,109.65,108.22,109.28,9544100,99.65
2007-07-11,108.30,109.60,108.25,109.10,5887800,99.49
2007-07-10,108.55,109.15,108.25,108.63,6209300,99.06
2007-07-09,108.73,109.35,108.20,108.97,6046300,99.37
2007-07-06,107.79,109.66,107.66,109.03,8977200,99.42
2007-07-05,106.31,108.39,105.98,108.05,6670900,98.53
2007-07-03,105.50,107.08,105.24,106.58,4217900,97.19
2007-07-02,105.39,105.80,104.58,105.01,4701300,95.76
2007-06-29,105.96,106.58,104.10,105.25,7018400,95.98
2007-06-28,105.52,106.92,105.22,105.95,5430900,96.61
2007-06-27,104.75,105.47,104.40,105.43,5403800,96.14
2007-06-26,105.10,106.06,104.82,105.33,5229600,96.05
2007-06-25,104.73,105.77,104.50,105.10,8476400,95.84
2007-06-22,105.96,106.44,104.44,104.44,10808500,95.24
2007-06-21,105.77,107.00,105.61,106.60,5587800,97.21
2007-06-20,106.50,107.02,105.95,106.00,6541500,96.66
2007-06-19,104.93,106.66,104.90,106.50,5754000,97.12
2007-06-18,105.27,105.65,104.89,105.33,6359200,96.05
2007-06-15,104.22,105.19,103.88,105.09,9432300,95.83
2007-06-14,103.10,104.24,102.81,103.85,5165600,94.70
2007-06-13,102.85,103.26,102.10,103.12,6437600,94.03
2007-06-12,103.11,103.18,102.15,102.34,5578400,93.32
2007-06-11,102.87,104.00,102.50,103.22,7903100,94.12
2007-06-08,101.80,103.21,101.75,103.07,8216300,93.99
2007-06-07,102.46,103.17,101.56,101.80,14384600,92.83
2007-06-06,105.50,105.51,102.39,102.41,30770700,93.39
2007-06-05,106.55,106.55,105.54,105.84,5244200,96.51
2007-06-04,106.50,106.59,105.58,106.23,4569900,96.87
2007-06-01,106.62,107.24,106.02,106.54,5289200,97.15
2007-05-31,107.26,107.67,106.00,106.60,5097700,97.21
2007-05-30,105.40,107.10,105.21,106.93,7401000,97.51
2007-05-29,105.57,106.63,105.30,105.91,5420300,96.58
2007-05-25,103.90,105.43,103.85,105.18,6123000,95.91
2007-05-24,105.45,105.98,103.57,103.95,6926300,94.79
2007-05-23,106.80,107.00,105.25,105.58,4396900,96.28
2007-05-22,106.95,107.25,106.01,106.70,5313300,97.30
2007-05-21,107.67,108.00,106.87,107.04,7512200,97.61
2007-05-18,105.84,108.05,105.60,107.99,9857500,98.47
2007-05-17,105.61,106.23,104.73,105.31,7706400,96.03
2007-05-16,105.10,105.89,104.53,105.87,5613500,96.54
2007-05-15,105.40,105.80,104.70,104.83,6104200,95.59
2007-05-14,105.81,106.25,104.79,105.57,5732600,96.27
2007-05-11,104.69,105.99,104.67,105.98,6026100,96.64
2007-05-10,103.82,105.11,103.71,104.68,8959800,95.46
2007-05-09,103.93,104.75,103.70,104.38,8408100,95.18
2007-05-08,102.42,103.39,102.21,103.29,5965000,94.19
