Date,Open,High,Low,Close,Volume,Adj Close
2009-02-13,145.60,147.90,144.37,144.45,2396000,144.45
2009-02-12,144.99,146.37,139.78,145.60,3462300,145.60
2009-02-11,148.00,149.80,140.63,146.86,3403900,146.86
2009-02-10,149.30,154.92,144.12,145.23,3984000,145.23
2009-02-09,145.54,150.49,142.58,148.94,2546900,148.94
2009-02-06,150.50,152.72,145.26,146.30,3268200,146.30
2009-02-05,143.90,151.91,142.76,149.79,3956600,149.79
2009-02-04,142.35,148.08,141.69,144.91,3495200,144.91
2009-02-03,141.00,143.84,138.27,140.46,3023500,140.46
2009-02-02,140.23,140.59,135.29,138.27,3246600,138.27
2009-01-30,142.69,146.44,137.75,142.80,4629400,142.80
2009-01-29,143.23,143.98,135.88,136.89,3351000,136.89
2009-01-28,145.00,148.41,142.53,145.88,2942300,145.88
2009-01-27,143.46,145.00,139.38,141.08,2882100,141.08
2009-01-26,139.89,145.50,136.72,139.05,3153000,139.05
2009-01-23,131.75,142.31,128.89,137.51,3473500,137.51
2009-01-22,138.31,139.97,132.03,137.30,3182400,137.30
2009-01-21,141.38,143.84,135.50,141.42,3624800,141.42
2009-01-20,145.01,146.37,137.76,137.76,3542300,137.76
2009-01-16,146.95,150.45,139.55,145.42,4817000,145.42
2009-01-15,137.01,146.48,134.88,142.58,4260200,142.58
2009-01-14,137.01,138.49,130.88,133.38,4555500,133.38
2009-01-13,141.97,146.97,136.17,141.10,5164700,141.10
2009-01-12,159.45,159.53,148.16,149.93,4018800,149.93
2009-01-09,159.48,165.20,155.77,162.54,4754100,162.54
2009-01-08,146.61,157.24,145.62,155.36,3878800,155.36
2009-01-07,151.15,152.15,145.79,148.50,3649500,148.50
2009-01-06,157.46,160.00,150.19,153.71,4678500,153.71
2009-01-05,149.05,163.76,148.47,157.80,5865300,157.80
2009-01-02,137.00,151.99,137.00,151.50,3935700,151.50
2008-12-31,135.30,138.66,134.61,137.96,2581300,137.96
2008-12-30,136.57,137.30,131.50,135.65,2367200,135.65
2008-12-29,136.11,139.68,134.03,135.99,2495100,135.99
2008-12-26,135.15,136.10,131.77,135.01,1566700,135.01
2008-12-24,135.50,137.80,133.41,133.73,1139100,133.73
2008-12-23,134.92,140.43,133.81,137.37,3001100,137.37
2008-12-22,141.01,141.44,130.74,133.01,3503400,133.01
2008-12-19,140.41,142.20,135.00,140.68,5833500,140.68
2008-12-18,147.86,149.00,135.22,137.88,5820200,137.88
2008-12-17,124.58,144.93,123.50,141.94,8388600,141.94
2008-12-16,115.53,127.96,114.90,126.61,5285200,126.61
2008-12-15,118.67,119.42,111.00,111.20,3940600,111.20
2008-12-12,113.53,120.35,110.99,116.92,3861600,116.92
2008-12-11,117.13,126.45,115.37,117.57,4169700,117.57
2008-12-10,116.39,123.20,112.78,119.68,5179200,119.68
2008-12-09,127.08,130.70,116.78,117.11,5654300,117.11
2008-12-08,136.10,138.90,133.06,134.84,4701300,134.84
2008-12-05,118.52,128.55,115.00,128.54,3945100,128.54
2008-12-04,130.82,138.11,117.53,122.00,5502400,122.00
2008-12-03,111.10,134.24,110.00,133.72,6059700,133.72
2008-12-02,113.34,117.23,111.14,116.12,3081600,116.12
2008-12-01,118.72,118.73,109.75,110.20,3653300,110.20
2008-11-28,125.58,127.39,122.10,124.84,1447600,124.84
2008-11-26,115.30,130.80,113.05,127.77,5273000,127.77
2008-11-25,115.94,118.75,106.61,117.19,4644800,117.19
2008-11-24,98.69,116.00,98.63,112.62,6696100,112.62
2008-11-21,90.01,93.40,85.28,92.81,6140300,92.81
2008-11-20,93.54,96.80,86.00,87.23,7611200,87.23
2008-11-19,107.03,107.40,100.00,101.13,7751300,101.13
2008-11-18,114.31,118.24,105.00,110.56,5794700,110.56
2008-11-17,110.90,117.83,107.02,115.55,5048600,115.55
2008-11-14,120.86,124.97,115.00,116.78,4794500,116.78
2008-11-13,113.49,127.70,105.05,125.31,8172400,125.31
2008-11-12,121.01,122.34,110.00,110.06,6231200,110.06
2008-11-11,132.00,137.64,123.00,130.90,5094400,130.90
2008-11-10,149.85,151.00,134.47,138.50,4167400,138.50
2008-11-07,146.93,154.45,142.30,149.67,4998200,149.67
2008-11-06,146.00,148.76,135.77,143.60,6937600,143.60
2008-11-05,168.23,172.21,151.85,152.09,8079200,152.09
2008-11-04,169.99,179.60,166.34,177.52,8686200,177.52
2008-11-03,146.84,162.95,143.50,161.91,5350600,161.91
2008-10-31,141.61,148.06,137.61,143.70,4959700,143.70
2008-10-30,134.43,144.07,131.00,144.07,8104100,144.07
2008-10-29,116.49,131.58,111.80,115.75,7053200,115.75
2008-10-28,112.82,115.53,95.32,114.09,6742900,114.09
2008-10-27,116.37,119.61,106.00,107.91,3843400,107.91
2008-10-24,107.03,125.99,106.00,120.53,4131800,120.53
2008-10-23,137.97,139.00,119.01,124.74,6367000,124.74
2008-10-22,137.12,141.63,131.54,137.24,6455800,137.24
2008-10-21,139.25,146.99,138.00,141.16,3691200,141.16
2008-10-20,139.90,144.92,132.84,143.98,3776500,143.98
2008-10-17,134.79,149.50,133.00,135.00,4590800,135.00
2008-10-16,128.25,144.42,120.05,141.70,6440400,141.70
2008-10-15,135.97,140.39,123.11,123.52,3720200,123.52
2008-10-14,158.91,160.70,141.67,143.11,4960000,143.11
2008-10-13,130.27,143.97,126.68,143.97,4223300,143.97
2008-10-10,105.99,124.44,102.50,117.45,4813300,117.45
2008-10-09,132.43,139.91,115.71,118.10,3743500,118.10
2008-10-08,115.01,138.90,112.46,127.43,8070300,127.43
2008-10-07,139.21,147.66,125.52,128.00,8045400,128.00
2008-10-06,153.58,161.85,134.50,159.71,6125200,159.71
2008-10-03,180.17,194.30,153.62,163.19,4478100,163.19
2008-10-02,198.19,198.23,170.68,177.86,3342700,177.86
2008-10-01,198.00,202.93,188.66,197.26,3492300,197.26
2008-09-30,186.48,188.97,180.22,188.91,2528200,188.91
2008-09-29,195.33,196.33,175.48,180.31,3281100,180.31
2008-09-26,215.47,215.73,200.00,207.13,2827600,207.13
2008-09-25,220.01,226.39,216.63,221.38,1637100,221.38
2008-09-24,220.80,229.56,218.02,221.80,4094000,221.80
2008-09-23,224.35,225.53,210.00,210.89,2923900,210.89
2008-09-22,240.00,240.47,221.02,222.65,2920500,222.65
2008-09-19,242.37,249.90,228.57,241.90,3130700,241.90
2008-09-18,214.50,229.20,206.31,223.39,3129000,223.39
2008-09-17,214.03,219.91,200.11,212.00,3476100,212.00
2008-09-16,193.30,214.65,186.82,214.65,3525900,214.65
2008-09-15,200.98,211.25,198.00,202.97,3043000,202.97
2008-09-12,210.18,218.82,207.51,214.65,2782800,214.65
2008-09-11,198.14,215.89,196.80,209.70,3726800,209.70
2008-09-10,201.50,212.32,195.50,211.25,3818400,211.25
2008-09-09,215.75,218.91,199.00,200.26,5020800,200.26
2008-09-08,246.99,246.99,214.31,222.68,3427000,222.68
2008-09-05,231.99,237.00,219.02,236.01,4469000,236.01
2008-09-04,249.47,255.17,233.82,237.13,3348300,237.13
2008-09-03,258.63,261.75,245.35,247.14,2665200,247.14
2008-09-02,270.40,271.48,258.00,260.60,2499500,260.60
2008-08-29,276.94,283.45,275.49,276.65,1134100,276.65
2008-08-28,277.51,280.56,274.35,278.00,1325400,278.00
2008-08-27,272.89,279.95,271.02,277.00,2103000,277.00
2008-08-26,270.72,275.50,268.00,272.76,1907700,272.76
2008-08-25,273.29,277.00,268.38,271.04,2939500,271.04
2008-08-22,279.01,282.94,276.52,282.82,1425800,282.82
2008-08-21,271.12,282.41,271.12,279.27,2420800,279.27
2008-08-20,259.00,273.80,258.45,272.99,2779000,272.99
2008-08-19,259.83,261.58,255.15,258.74,1580000,258.74
2008-08-18,266.35,266.60,254.27,256.92,1856300,256.92
2008-08-15,265.46,271.45,263.55,264.92,2822700,264.92
2008-08-14,257.29,263.00,255.00,260.00,1873900,260.00
2008-08-13,250.75,260.03,245.16,260.03,2171600,260.03
2008-08-12,251.57,257.56,248.65,250.43,1836300,250.43
2008-08-11,257.02,262.57,243.03,248.00,2562200,248.00
2008-08-08,265.01,265.67,251.66,257.87,2183200,257.87
2008-08-07,268.14,269.29,265.11,265.97,1507500,265.97
2008-08-06,263.69,270.39,263.10,269.00,2019600,269.00
2008-08-05,266.00,272.50,261.56,264.29,2022100,264.29
2008-08-04,277.00,284.00,266.20,267.24,2466900,267.24
2008-08-01,286.64,290.40,278.18,280.74,2545200,280.74
2008-07-31,297.59,301.30,284.18,285.03,5158000,285.03
2008-07-30,279.00,286.00,271.00,285.00,4380700,285.00
2008-07-29,270.03,281.26,261.79,277.57,2719300,277.57
2008-07-28,261.47,271.37,259.38,266.90,1570500,266.90
2008-07-25,260.00,265.88,257.72,262.46,1663600,262.46
2008-07-24,263.00,268.78,255.89,264.09,2357300,264.09
2008-07-23,267.17,267.63,258.10,259.72,1802300,259.72
2008-07-22,276.00,277.87,259.06,266.45,2970600,266.45
2008-07-21,280.22,282.50,275.00,281.18,1462300,281.18
2008-07-18,280.00,281.49,271.01,279.27,1699800,279.27
2008-07-17,285.01,293.27,276.27,278.42,2664400,278.42
2008-07-16,291.04,291.04,282.00,288.60,3123100,288.60
2008-07-15,281.60,283.26,269.13,277.00,3285100,277.00
2008-07-14,285.02,288.00,281.31,285.96,2274100,285.96
2008-07-11,276.45,285.00,271.67,279.10,2440700,279.10
2008-07-10,266.78,280.54,263.29,280.00,3442900,280.00
2008-07-09,264.60,273.73,264.50,265.40,2601500,265.40
2008-07-08,255.30,263.24,248.41,262.00,2755000,262.00
2008-07-07,255.87,260.00,246.51,256.80,2435100,256.80
2008-07-03,246.12,254.33,234.00,253.65,3313400,253.65
2008-07-02,274.90,274.90,246.84,247.84,3861400,247.84
2008-07-01,265.90,271.78,260.25,270.68,2777100,270.68
2008-06-30,267.87,277.20,267.86,272.82,2660000,272.82
2008-06-27,269.97,271.78,261.29,266.25,3279800,266.25
2008-06-26,286.99,286.99,271.05,273.27,2452000,273.27
2008-06-25,292.00,292.23,281.44,290.13,2233600,290.13
2008-06-24,286.10,292.88,283.00,288.22,2826700,288.22
2008-06-23,274.94,288.00,274.56,288.00,4182700,288.00
2008-06-20,270.99,272.96,265.20,268.22,2874500,268.22
2008-06-19,277.25,278.81,270.56,274.32,2271200,274.32
2008-06-18,279.92,281.70,272.02,275.75,3103700,275.75
2008-06-17,279.57,288.38,278.16,282.22,5137500,282.22
2008-06-16,278.65,281.33,274.50,277.40,2444400,277.40
2008-06-13,265.73,274.39,264.11,274.39,3375600,274.39
2008-06-12,261.94,272.49,260.43,261.80,5835500,261.80
2008-06-11,247.32,259.42,243.37,253.19,4644200,253.19
2008-06-10,237.02,247.79,233.97,245.15,4667400,245.15
2008-06-09,252.63,253.80,237.63,244.76,2971500,244.76
2008-06-06,254.88,262.77,251.00,251.69,3634900,251.69
2008-06-05,246.60,257.53,241.64,256.00,4919300,256.00
2008-06-04,253.49,255.49,241.50,242.88,5415700,242.88
2008-06-03,255.71,262.54,251.53,257.32,4354400,257.32
2008-06-02,259.87,261.95,251.00,255.96,5499700,255.96
2008-05-30,272.99,276.82,265.80,267.54,6327000,267.54
2008-05-29,263.48,263.95,251.81,252.10,6503900,252.10
2008-05-28,261.52,273.20,253.30,273.18,5516400,273.18
2008-05-27,277.98,277.98,262.82,265.16,3255400,265.16
2008-05-23,268.70,278.67,268.25,278.48,2550500,278.48
2008-05-22,280.50,283.99,267.67,271.43,3459000,271.43
2008-05-21,292.68,293.80,279.45,279.45,4996900,279.45
2008-05-20,294.58,299.68,290.25,299.06,3109500,299.06
2008-05-19,311.87,312.85,290.82,295.90,3989100,295.90
2008-05-16,309.68,313.43,306.21,311.14,3045500,311.14
2008-05-15,311.90,315.43,302.70,306.78,4436000,306.78
2008-05-14,307.72,317.00,303.70,307.94,5663000,307.94
2008-05-13,293.00,306.89,289.78,303.98,5689600,303.98
2008-05-12,285.56,288.00,278.00,284.84,2267800,284.84
2008-05-09,284.00,287.65,278.55,284.50,3357100,284.50
2008-05-08,277.41,281.69,273.19,275.80,2392700,275.80
2008-05-07,284.32,287.20,275.23,276.85,3563500,276.85
2008-05-06,269.65,284.30,266.24,278.57,3897000,278.57
2008-05-05,274.22,274.94,262.16,268.82,3416500,268.82
2008-05-02,268.35,278.90,266.70,276.24,4752300,276.24
2008-05-01,285.00,285.20,261.12,263.35,7947900,263.35
2008-04-30,297.57,307.80,286.14,291.99,13397600,291.99
2008-04-29,283.76,285.99,277.50,284.92,3761000,284.92
2008-04-28,287.52,288.99,282.00,285.52,2048600,285.52
2008-04-25,284.75,290.00,277.50,288.24,2392500,288.24
2008-04-24,290.88,290.92,275.25,283.61,3232400,283.61
2008-04-23,302.49,303.00,285.07,286.03,2975200,286.03
2008-04-22,300.99,308.24,295.71,298.03,5217900,298.03
2008-04-21,285.59,292.89,284.50,291.85,2663600,291.85
2008-04-18,292.98,294.64,283.76,285.79,3912600,285.79
2008-04-17,292.50,300.00,278.71,287.36,6603200,287.36
2008-04-16,293.00,297.68,291.39,295.91,4697600,295.91
2008-04-15,283.61,290.70,281.70,287.32,7568800,287.32
2008-04-14,272.35,277.50,268.11,274.10,4030900,274.10
2008-04-11,267.69,274.25,265.87,268.30,3571000,268.30
2008-04-10,269.47,274.42,264.54,271.20,4193500,271.20
2008-04-09,273.63,278.85,269.05,269.87,4183100,269.87
2008-04-08,266.85,277.63,263.00,271.99,5926500,271.99
2008-04-07,286.56,291.49,269.25,272.25,8204800,272.25
2008-04-04,256.02,283.90,254.66,278.00,12009900,278.00
2008-04-03,246.41,254.50,243.11,251.60,5363300,251.60
2008-04-02,238.50,251.09,236.67,249.55,4417600,249.55
2008-04-01,237.32,239.70,232.20,237.53,3446600,237.53
2008-03-31,227.83,234.95,225.82,231.14,3121300,231.14
2008-03-28,233.39,237.35,227.13,228.68,4202400,228.68
2008-03-27,226.22,233.42,225.40,227.49,6246400,227.49
2008-03-26,218.55,225.00,215.50,220.19,3599400,220.19
2008-03-25,211.49,223.99,207.41,219.73,4707200,219.73
2008-03-24,195.00,213.69,194.76,209.50,4124400,209.50
2008-03-20,197.70,198.62,192.01,193.66,3040900,193.66
2008-03-19,204.00,208.28,195.27,196.97,4263000,196.97
2008-03-18,201.33,205.74,196.80,204.02,3641800,204.02
2008-03-17,190.50,197.21,185.58,193.90,4369700,193.90
2008-03-14,211.35,214.93,195.01,200.84,5750500,200.84
2008-03-13,199.01,210.27,193.84,207.29,6365900,207.29
2008-03-12,203.08,207.70,195.10,205.88,5488100,205.88
2008-03-11,184.45,199.04,180.40,198.11,6754300,198.11
2008-03-10,197.46,199.26,176.01,176.57,6859900,176.57
2008-03-07,204.42,207.68,195.07,196.82,5438100,196.82
2008-03-06,213.00,216.00,206.67,208.77,4079700,208.77
2008-03-05,204.56,213.42,204.47,213.19,4900600,213.19
2008-03-04,208.01,210.66,196.01,202.60,5003900,202.60
2008-03-03,204.50,211.44,202.29,207.49,3476100,207.49
2008-02-29,202.68,210.60,202.21,205.15,4220500,205.15
2008-02-28,215.02,216.90,204.69,205.26,5020900,205.26
2008-02-27,216.37,225.30,215.76,217.69,4246900,217.69
2008-02-26,217.00,225.86,212.66,220.69,5120900,220.69
2008-02-25,211.12,220.42,207.60,218.90,4780400,218.90
2008-02-22,207.20,212.25,206.50,211.74,3807000,211.74
2008-02-21,218.08,219.01,209.64,211.59,4817800,211.59
2008-02-20,205.43,217.40,201.32,217.00,7796900,217.00
2008-02-19,219.11,220.80,210.02,211.94,6285600,211.94
2008-02-15,221.96,227.58,213.00,219.39,7159000,219.39
2008-02-14,231.51,236.57,221.50,224.11,9085200,224.11
2008-02-13,214.57,228.50,207.50,228.46,17867200,228.46
2008-02-12,193.25,198.41,172.38,175.56,10853800,175.56
2008-02-11,180.17,190.84,176.51,189.64,7243900,189.64
2008-02-08,164.93,175.35,163.94,173.19,4433900,173.19
2008-02-07,168.29,173.43,157.66,165.60,8641300,165.60
2008-02-06,182.20,187.00,169.71,171.71,6106200,171.71
2008-02-05,188.00,191.50,177.64,178.00,4865800,178.00
2008-02-04,186.72,198.09,183.90,192.90,5193600,192.90
2008-02-01,182.30,189.38,177.50,185.94,4682300,185.94
2008-01-31,179.00,183.50,172.77,181.77,5312100,181.77
2008-01-30,191.00,191.39,180.59,184.35,7441200,184.35
2008-01-29,180.49,194.71,177.30,191.90,9632500,191.90
2008-01-28,169.90,180.43,164.36,177.00,6253600,177.00
2008-01-25,180.00,183.97,169.01,171.28,7479500,171.28
2008-01-24,159.39,174.45,148.60,171.46,11147400,171.46
2008-01-23,175.31,179.14,143.31,165.78,13359600,165.78
2008-01-22,156.40,184.96,150.53,182.79,7412300,182.79
2008-01-18,172.92,180.92,166.79,175.88,8640700,175.88
2008-01-17,181.22,185.53,166.59,167.20,7207300,167.20
2008-01-16,200.46,203.39,177.50,181.56,10344100,181.56
2008-01-15,217.75,220.00,203.42,204.79,5703100,204.79
2008-01-14,222.32,229.99,213.33,224.76,4187400,224.76
2008-01-11,227.83,231.93,215.63,221.00,4565500,221.00
2008-01-10,226.13,233.16,216.55,225.97,5905400,225.97
2008-01-09,230.53,234.80,208.33,234.25,6911500,234.25
2008-01-08,237.20,263.70,228.74,230.50,4578400,230.50
2008-01-07,249.61,254.70,223.00,236.84,6784800,236.84
2008-01-04,255.60,262.51,243.36,245.58,6208900,245.58
2008-01-03,268.48,271.62,263.03,265.87,2405400,265.87
2008-01-02,269.46,272.79,260.50,267.70,4111400,267.70
2007-12-31,265.74,273.73,265.00,267.14,2113700,267.14
2007-12-28,278.00,279.00,265.00,266.04,3298600,266.04
2007-12-27,278.39,283.00,272.80,275.50,2567000,275.50
2007-12-26,272.40,281.61,267.24,280.91,2302000,280.91
2007-12-24,268.27,275.89,264.10,272.04,1878700,272.04
2007-12-21,250.23,268.16,248.00,266.40,5522800,266.40
2007-12-20,249.04,251.24,241.24,245.60,2882400,245.60
2007-12-19,245.87,251.76,242.64,247.98,3398900,247.98
2007-12-18,239.72,248.21,232.61,247.10,5087100,247.10
2007-12-17,252.08,255.76,230.00,231.97,4428900,231.97
2007-12-14,244.15,255.00,243.62,251.69,3462900,251.69
2007-12-13,246.39,256.45,242.00,248.35,5498900,248.35
2007-12-12,244.53,247.50,233.79,241.68,4158100,241.68
2007-12-11,249.66,252.64,229.01,236.29,4725600,236.29
2007-12-10,237.31,251.17,233.30,250.00,4917500,250.00
2007-12-07,220.36,235.48,213.47,235.47,5758900,235.47
2007-12-06,225.22,226.49,211.00,218.40,4523600,218.40
2007-12-05,222.98,226.83,219.00,225.93,4271400,225.93
2007-12-04,228.49,231.46,213.91,214.54,5938400,214.54
2007-12-03,237.89,249.00,227.86,229.22,4711900,229.22
2007-11-30,247.50,252.39,233.97,237.15,4883600,237.15
2007-11-29,215.96,239.39,215.06,238.18,6115000,238.18
2007-11-28,210.89,218.50,210.27,215.88,4337000,215.88
2007-11-27,214.52,216.24,201.91,207.62,3761800,207.62
2007-11-26,209.97,221.75,209.19,212.00,3930700,212.00
2007-11-23,215.77,215.90,207.50,210.13,1542600,210.13
2007-11-21,200.00,217.92,198.43,212.50,3896400,212.50
2007-11-20,216.88,219.90,200.00,207.33,5563500,207.33
2007-11-19,210.02,220.21,207.60,215.76,8271100,215.76
2007-11-16,199.00,212.63,191.18,212.63,6475400,212.63
2007-11-15,186.53,195.89,184.77,190.95,4368500,190.95
2007-11-14,195.78,199.58,184.56,185.39,5336100,185.39
2007-11-13,187.68,199.77,187.00,188.07,6464700,188.07
2007-11-12,200.50,202.16,174.22,177.70,7148800,177.70
2007-11-09,216.43,226.32,200.56,206.85,6725400,206.85
2007-11-08,221.19,230.00,205.87,224.43,11605600,224.43
2007-11-07,170.51,173.94,160.91,167.12,5763300,167.12
2007-11-06,164.26,170.22,163.46,169.00,5902900,169.00
2007-11-05,143.74,149.46,141.49,148.10,1896400,148.10
2007-11-02,152.85,152.85,144.06,146.56,3018100,146.56
2007-11-01,157.29,158.06,151.86,155.35,2527700,155.35
2007-10-31,152.72,159.29,150.84,158.81,2605700,158.81
2007-10-30,153.76,156.53,148.60,149.75,1986100,149.75
2007-10-29,154.50,159.78,150.51,156.20,2079000,156.20
2007-10-26,154.50,154.50,149.02,150.44,1890600,150.44
2007-10-25,150.00,156.00,146.09,149.97,4354300,149.97
2007-10-24,149.84,151.59,140.35,148.38,4032900,148.38
2007-10-23,141.60,152.60,139.03,150.16,4227100,150.16
2007-10-22,128.81,137.00,124.96,136.90,2943900,136.90
2007-10-19,141.22,142.59,133.01,133.24,2343000,133.24
2007-10-18,136.69,141.70,134.83,140.57,2431200,140.57
2007-10-17,143.04,147.54,138.55,139.09,5455100,139.09
2007-10-16,132.76,139.07,131.80,138.93,1853000,138.93
2007-10-15,138.08,140.65,132.00,134.95,1766700,134.95
2007-10-12,131.05,137.29,127.45,135.72,1892000,135.72
2007-10-11,138.89,142.29,125.54,130.00,2907700,130.00
2007-10-10,137.25,138.25,132.45,135.90,1735700,135.90
2007-10-09,139.90,141.98,134.29,137.22,2403200,137.22
2007-10-08,135.40,137.43,133.39,137.30,1611600,137.30
2007-10-05,135.28,139.00,134.50,137.03,2771500,137.03
2007-10-04,128.29,131.84,125.30,131.84,2305200,131.84
2007-10-03,129.49,131.80,124.36,127.92,3393700,127.92
2007-10-02,129.81,132.55,127.73,131.53,3645000,131.53
2007-10-01,120.00,127.98,119.91,126.96,4777200,126.96
2007-09-28,115.08,119.51,109.66,117.74,5684200,117.74
2007-09-27,115.71,121.49,108.45,110.03,5584300,110.03
2007-09-26,115.00,117.00,110.02,114.40,2102300,114.40
2007-09-25,111.28,117.35,111.06,113.82,2146200,113.82
2007-09-24,114.00,117.46,110.00,112.80,3461600,112.80
2007-09-21,104.59,112.77,103.61,112.55,4137900,112.55
2007-09-20,101.18,105.50,99.30,103.00,2779300,103.00
2007-09-19,102.42,105.00,99.25,100.93,2240600,100.93
2007-09-18,96.11,101.50,93.69,101.18,2213100,101.18
2007-09-17,99.00,99.20,94.35,94.86,1575600,94.86
2007-09-14,98.00,99.91,97.40,98.33,1092300,98.33
2007-09-13,98.85,100.94,96.71,99.90,2596500,99.90
2007-09-12,105.50,108.51,97.30,98.13,5781500,98.13
2007-09-11,101.00,105.68,99.54,102.19,2892900,102.19
2007-09-10,100.75,102.50,96.29,100.42,1530700,100.42
2007-09-07,102.89,102.89,97.86,99.94,2114800,99.94
2007-09-06,107.50,108.32,103.60,104.38,1479400,104.38
2007-09-05,106.40,108.49,103.26,106.50,1795500,106.50
2007-09-04,103.50,108.33,102.02,106.98,1919300,106.98
2007-08-31,102.60,104.90,100.52,103.74,3483500,103.74
2007-08-30,95.35,102.92,93.62,102.49,3185800,102.49
2007-08-29,92.49,95.96,91.58,95.79,1616600,95.79
2007-08-28,94.00,95.22,90.78,90.96,1387300,90.96
2007-08-27,97.50,98.00,95.26,95.83,713900,95.83
2007-08-24,94.50,97.85,92.00,97.55,1518300,97.55
2007-08-23,98.68,99.85,93.81,94.20,1904900,94.20
2007-08-22,97.66,99.08,93.56,99.07,1881400,99.07
2007-08-21,94.01,97.38,92.26,96.49,2377000,96.49
2007-08-20,89.99,94.99,88.21,94.01,4200400,94.01
2007-08-17,85.00,87.80,79.23,85.21,3599300,85.21
2007-08-16,87.85,88.00,74.77,81.87,5321800,81.87
2007-08-15,90.64,92.15,86.39,87.54,3040600,87.54
2007-08-14,96.26,96.55,91.05,91.55,2025900,91.55
2007-08-13,96.00,98.07,94.08,95.54,2232900,95.54
2007-08-10,95.20,98.27,92.79,94.42,6818000,94.42
2007-08-09,106.02,109.20,102.00,103.00,2335000,103.00
2007-08-08,106.97,112.80,106.55,109.90,2453900,109.90
2007-08-07,96.88,107.48,95.50,105.32,3225200,105.32
2007-08-06,100.60,102.40,93.15,98.20,3245200,98.20
2007-08-03,101.63,105.00,99.50,100.05,2270400,100.05
2007-08-02,106.36,106.80,96.41,104.54,4304900,104.54
2007-08-01,102.87,111.42,101.36,107.50,5270300,107.50
2007-07-31,122.99,123.21,106.00,112.57,4008900,112.57
2007-07-30,112.00,121.42,106.48,120.28,3183800,120.28
2007-07-27,107.60,112.90,107.54,110.69,1799100,110.69
2007-07-26,106.40,110.50,105.02,107.39,1887300,107.39
2007-07-25,108.55,111.45,105.60,108.08,1812900,108.08
2007-07-24,107.06,114.00,106.80,107.16,2162900,107.16
2007-07-23,110.49,111.37,107.27,108.75,1025700,108.75
2007-07-20,108.09,110.45,106.51,110.14,1988100,110.14
2007-07-19,111.22,112.90,109.04,111.64,2022500,111.64
2007-07-18,108.12,112.25,105.50,109.92,3175900,109.92
2007-07-17,114.50,115.50,108.03,109.40,3744200,109.40
2007-07-16,114.49,116.30,110.20,112.05,3943600,112.05
2007-07-13,114.42,118.39,113.30,115.97,2619700,115.97
2007-07-12,114.00,116.28,111.06,114.56,2527800,114.56
2007-07-11,113.50,115.88,110.54,113.45,2828300,113.45
2007-07-10,116.25,117.00,113.01,114.89,4147200,114.89
2007-07-09,105.43,119.85,105.43,119.34,9020100,119.34
2007-07-06,94.82,96.47,93.25,96.29,1308900,96.29
2007-07-05,97.64,98.87,92.51,94.53,2463700,94.53
2007-07-03,95.24,98.60,94.39,97.48,2042600,97.48
2007-07-02,89.35,94.33,88.60,93.75,1538700,93.75
2007-06-29,90.76,91.10,87.65,89.29,2262400,89.29
2007-06-28,88.89,90.87,87.54,90.13,2065900,90.13
2007-06-27,87.33,88.80,84.92,88.66,2404000,88.66
2007-06-26,87.26,88.49,85.26,88.27,2667000,88.27
2007-06-25,84.85,88.29,84.65,86.35,2666800,86.35
2007-06-22,80.00,84.90,79.05,84.64,4903000,84.64
2007-06-21,80.78,81.40,79.51,80.21,1868000,80.21
2007-06-20,79.74,81.88,78.23,80.82,2221400,80.82
2007-06-19,78.62,79.88,77.66,79.24,1416500,79.24
2007-06-18,78.68,79.49,77.00,78.28,1181600,78.28
2007-06-15,76.20,78.33,75.00,78.10,1871400,78.10
2007-06-14,74.70,76.22,74.50,74.96,1609200,74.96
2007-06-13,72.00,74.73,71.46,74.36,1810100,74.36
2007-06-12,70.08,71.52,68.35,71.04,2220800,71.04
2007-06-11,71.22,72.85,70.64,70.94,1065500,70.94
2007-06-08,70.25,71.68,69.75,71.22,961700,71.22
2007-06-07,71.71,72.03,69.42,70.54,1322200,70.54
2007-06-06,71.50,73.26,70.05,71.36,1983000,71.36
2007-06-05,68.74,71.85,68.32,71.83,1682900,71.83
2007-06-04,67.34,69.89,67.22,68.78,1167200,68.78
2007-06-01,68.55,68.64,67.33,68.17,698700,68.17
2007-05-31,68.80,69.11,66.98,68.04,1892700,68.04
2007-05-30,65.95,68.50,65.39,68.30,1494300,68.30
2007-05-29,67.10,67.57,65.36,67.13,1281300,67.13
2007-05-25,65.56,66.85,65.30,66.72,984300,66.72
2007-05-24,66.02,67.42,64.25,65.03,1784100,65.03
2007-05-23,65.84,67.71,65.16,65.87,2455900,65.87
2007-05-22,62.03,65.63,61.43,64.90,2567600,64.90
2007-05-21,62.50,63.80,61.48,62.03,2553100,62.03
2007-05-18,63.96,64.40,62.31,63.42,3615300,63.42
2007-05-17,63.86,65.99,63.46,65.17,1572400,65.17
2007-05-16,63.62,64.83,61.90,64.13,2283600,64.13
2007-05-15,64.93,66.70,62.98,63.37,2245300,63.37
2007-05-14,67.96,68.95,64.99,65.26,1937600,65.26
2007-05-11,69.17,69.95,66.92,67.87,2043500,67.87
2007-05-10,68.00,72.48,67.95,68.70,2975600,68.70
2007-05-09,68.01,69.00,67.68,68.58,1422500,68.58
2007-05-08,68.85,70.09,67.92,68.82,2035700,68.82
2007-05-07,66.95,70.44,65.77,69.63,4185400,69.63
2007-05-04,61.54,67.50,61.48,66.70,6099600,66.70
